web-scraper-order,web-scraper-start-url,Title Links,Title Links-href,B Number and Title,B number,Principal applicant name,Co-applicants,Title of project,Proposal summary,Impact of research,Date proposal received,Date proposal approved,Keywords
1616725758-2345,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=24,B3229 - Omics prediction of adverse pregnancy outcomes  - 13/12/2018,https://proposals.epi.bristol.ac.uk/?q=node/129832,B3229 - Omics prediction of adverse pregnancy outcomes  - 13/12/2018,B3229,Matthew Suderman | MRC IEU (United Kingdom),"Nancy McBride, Caroline Relton, Debbie Lawlor",Omics prediction of adverse pregnancy outcomes,"Despite their prevalence, little is known about the causes of adverse pregnancy outcomes. These include pregnancy loss (miscarriage or stillbirth), hypertensive disorders of pregnancy (HDP), gestational diabetes (GD), poor perinatal mental health, preterm birth (PTB), small for gestational age (SGA) and large for gestational age (LGA). Over 50% of pregnancies are affected by any of these outcomes, however we are unable to accurately predict their occurrence. Consequently, antenatal care currently stratifies women for different intensity of antenatal monitoring based on antenatal history, age and parity. Beyond early delivery (e.g. to prevent pregnancy loss or severe morbidity in mother or child), and stepwise treatment (from lifestyle through oral hypoglycaemic medication to insulin) for GD, there are few effective treatments to prevent these outcomes. Recent evidence showing that glycaemia-related differences in foetal over-growth predate the time in gestation of diagnostic tests highlights the need for better early prediction tools.

By identifying women at a high risk of pregnancy-related disease, we can maximise healthcare facilities, resources and screening strategies to allow for earlier diagnosis of these disorders. More sensitive and accurate predictive and stratification measures can assist with alleviating the burden on mothers and healthcare providers by redistributing maternal care resources. Incorporating genomics, epigenomics and metabolomics approaches will contribute towards a more cogent understanding of reproductive and perinatal health and disease11.",We hope to identify omics level predictors of adverse pregnancy outcomes which can ultimately lead to better screening for at risk mothers.,"Wednesday, 12 December, 2018","Thursday, 13 December, 2018","Epidemiology, Pregnancy - e.g. reproductive health, postnatal depression, birth outcomes, etc., Microarrays, Birth outcomes"
1616725495-2241,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=29,B3084 - The effect of preterm birth on later renal health - 05/04/2018,https://proposals.epi.bristol.ac.uk/?q=node/129702,B3084 - The effect of preterm birth on later renal health - 05/04/2018,B3084,Gavin Welsh | University of Bristol (United Kingdom),Miss Hayley Fryer,The effect of preterm birth on later renal health,"As kidneys continue to develop up to 36 weeks of gestation, preterm infants are often born with reduced nephron numbers and consequently sub-optimal renal performance. Detailed research has been conducted examining kidney function in preterm neonates soon after birth, but few follow up these patients past infancy. Those that have measured renal performance in childhood and early adulthood have yielded varying conclusions. Further research exploring this topic is therefore required.

Serum creatinine and albumin are markers for kidney function. This study aims to compare the titres of these substances in individuals who were born prematurely and at term at various timepoints throughout their life.

As premature birth is becoming more common in the UK and worldwide, it is important to understand its possible implications on health later in life.",This study will hopefully provide evidence suggesting whether preterm infants have an increased risk of reduced kidney function over their lifetime. It may suggest whether proactive measures should be taken to minimise this risk.,"Wednesday, 21 March, 2018","Tuesday, 20 March, 2018","Developmental biology, Kidney disease., Statistical methods, Birth outcomes"
1616721276-552,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=113,B651 - Do filaggrin truncation variants affect hearing - 01/05/2008,https://proposals.epi.bristol.ac.uk/?q=node/126836,B651 - Do filaggrin truncation variants affect hearing - 01/05/2008,B651,"Prof Ian  Day (Not used 0, Not used 0)","Prof John  Henderson (Not used 0, Not used 0), Dr Amanda J Hall (Not used 0, Not used 0)",Do filaggrin truncation variants affect hearing?,Do filaggrin truncation mutations affect hearing?,null,"Thursday, 1 May, 2008","Thursday, 1 May, 2008",Hearing
1616720077-74,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=137,B282 - Genetic and environmental influences on the atherogenic phenotype in the young a population based study - 01/01/2000,https://proposals.epi.bristol.ac.uk/?q=node/127131,B282 - Genetic and environmental influences on the atherogenic phenotype in the young a population based study - 01/01/2000,B282,"Prof John  Deanfield (University College London, UK)",,Genetic and environmental influences on the atherogenic phenotype in the young: a population based study.,We have developed techniques to study endothellal function non-invasively in children and young adults. This programme of work will study how genetic and early enviromental factors affect endothellal function and other markers of early arterial disease (such as arterial stiffness) in a large population of pre-pubertal children undergoing long-term follow-up. Long-term follow-up will also show how these arterial changes progress during puberty and when later risk factors such as smoking are enocuntered.,null,"Saturday, 1 January, 2000","Saturday, 1 January, 2000","Cardiovascular , Genetics, Environmental"
1616722180-954,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=96,B1094 - Examining links between mental health problems and epilepsy in childhood and adolescence - 11/01/2011,https://proposals.epi.bristol.ac.uk/?q=node/126472,B1094 - Examining links between mental health problems and epilepsy in childhood and adolescence - 11/01/2011,B1094,"Prof Michael  Kerr (University of Cardiff, UK)","Dr Ajay  Thapar (University of Cardiff, UK)",Examining links between mental health problems and epilepsy in childhood and adolescence.,Background,null,"Tuesday, 11 January, 2011","Tuesday, 11 January, 2011","Epilepsy, Mental Health"
1616721039-460,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=118,B542 - A study of psychosis-like symptoms PLIKS in 17-year old adolescents in ALSPAC - 30/08/2007,https://proposals.epi.bristol.ac.uk/?q=node/126929,B542 - A study of psychosis-like symptoms PLIKS in 17-year old adolescents in ALSPAC - 30/08/2007,B542,"Prof Mary  Zanarini (Harvard School of Public Health, USA)","Dr Stanley  Zammit (University of Cardiff, UK), Prof Chris  Hollis (Not used 0, Not used 0), Prof Glyn  Lewis (University of Bristol, UK), Prof Glynn  Harrison (University of Bristol, UK), Prof Peter  Jones (University of Cambridge, UK), Prof Dieter  Wolke (University of Warwick, UK), Prof David  Gunnell (University of Bristol, UK)",A study of psychosis-like symptoms (PLIKS) in 17-year old adolescents in ALSPAC,"AIMS The aim of this proposal is to examine risk factors for developing psychosis-like symptoms (PLIKS) during late adolescence within a population-based birth cohort. Furthermore, we will examine factors affecting persistence of PLIKS throughout adolescence, and the pathways from developing PLIKS in early adolescence through to disorder (PLIKS with concurrent functional impairment) in late adolescence, focusing on both risk and protective factors that are likely to be operating along this trajectory. More specifically, the aims of this proposal are:",null,"Thursday, 30 August, 2007","Thursday, 30 August, 2007","Depression, Mental Health"
1616724083-1691,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=57,B2431 - Positive mental wellbeing in emerging adulthood - 23/04/2015,https://proposals.epi.bristol.ac.uk/?q=node/125706,B2431 - Positive mental wellbeing in emerging adulthood - 23/04/2015,B2431,"Claire  Hawoth (University of Bristol, UK)",,Positive mental wellbeing in emerging adulthood,,null,"Wednesday, 22 April, 2015","Thursday, 23 April, 2015","Happiness, Mental Health"
1616724955-2028,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=40,B2841 - The role of X chromosome polymorphisms in cardiovascular disease - 15/02/2017,https://proposals.epi.bristol.ac.uk/?q=node/127525,B2841 - The role of X chromosome polymorphisms in cardiovascular disease - 15/02/2017,B2841,JIE ZHENG | MRC Integrative Epidemiology Unit (United Kingdom),"Dr. Evie Stergiakouli, Dr. Linda OKeeffe, Ms. Ellie Clements",The role of X chromosome polymorphisms in cardiovascular disease,"We are aiming to identify the role of X chromosome on cardiovascular diseases in ALSPAC (including presence of disease, blood pressure, anthropometric traits including BMI, lipid levels and glycemic traits). X chromosome association analysis will be conducted using ALSPAC genotype data. The Variance explained by the X chromosome will be estimated.",null,"Monday, 13 February, 2017","Wednesday, 15 February, 2017",Genetics
1616723640-1518,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=66,B2226 - Birth weight and metabolomics profiles through the lift-course  Meta-analysis of 20000 people - 10/04/2014,https://proposals.epi.bristol.ac.uk/?q=node/125881,B2226 - Birth weight and metabolomics profiles through the lift-course  Meta-analysis of 20000 people - 10/04/2014,B2226,"Peter  Wurtz (University of Oulu, Finland)","Prof Mika  Ala-Korpela (University of Oulu, Europe), Dr Fotios  Drenos (University of Bristol, UK)","Birth weight and metabolomics profiles through the lift-course:  Meta-analysis of 20,000 people.",Aims:,null,"Wednesday, 9 April, 2014","Thursday, 10 April, 2014",Birth Outcomes
1616723819-1589,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=63,B2301 - Genome-wide study of genetic variants associated with recognition of negative non-verbal emotions - 25/09/2014,https://proposals.epi.bristol.ac.uk/?q=node/125813,B2301 - Genome-wide study of genetic variants associated with recognition of negative non-verbal emotions - 25/09/2014,B2301,"Prof Thalia  Eley (MRC Social, Genetic and Developmental Psychiatry Centre, UK)","Jonathan  Coleman (King's College London, UK), Prof Marcus  Munafo (University of Bristol, UK), Dr Kathryn  Lester (King's College London, UK)",Genome-wide study of genetic variants associated with recognition of negative non-verbal emotions,Aims:,null,"Thursday, 18 September, 2014","Thursday, 25 September, 2014",Communication
